Author	Book Title	Series	ISBN	Year Level
Dubosarsky, Ursula	The Blue Cat		9781760292294	7-8
Emerson, Marcus	Diary of a 6th Grade Ninja	Diary of a 6th Grade Ninja 01	9781760295554	3-4, 5-6
Emerson, Marcus	Private Invasion	Diary of a 6th Grade Ninja 02	9781760295561	3-4, 5-6
Ewing, Amy	The Black Key	The Lone City 03	9780062235848	9-10
Fenton, Corinne; McLean, Andrew (ill.)	Bob the Railway Dog		9781922179890	3-4
Fenton, Corinne; Swan, Owen (ill.)	My Friend Tertius		9781760113827	5-6
Field, Alex; Magisson, Helene (ill.)	Happily Every After Beauty and the Beast	Happily Every After	9781925059809	EC-2
Finn, Maura; Erasmus, Karen (ill.)	Rose's Red Boots		9780957988446	EC-2
Fisher, Isla	Marge and the Pirate Baby	Marge	9781748125933	EC-2, 3-4
Fisher, Isla	Marge in Charge	Marge	9781848125339	EC-2, 3-4
Fitzsimons, Peter	Kokoda (Teen Edition)		9780734417435	9-10
